Date,EE_BC1,EE_BC2,EE_BC3,Q_BC1,T_SAL_BC1,T_ENT_BC1,ET_BC1_Frio,ET_BC1_Calor,Q_BC2,T_SAL_BC2,T_ENT_BC2,ET_BC2_Frio,ET_BC2_Calor,Q_BC3,T_SAL_BC3,T_ENT_BC3,ET_BC3_Frio,ET_BC3_Calor,Q_TER,T_IMP_TER,T_RET_TER,ET_TER_Frio,ET_TER_Calor,EE_TER,EE_BC1_TER,EE_BC2_TER
08-02-2024;00:50:00.000,"42.245","87.29","2895.589","16.7","49.68","45.95","0.01","0.162","16.11","47.81","46.05","0","0.38","0","16.53","16.91","0.712","1.291","36.92","14.01","15.91","0.293","0","36.526","0","0"
08-02-2024;01:00:00.000,"42.624","88.2","2895.589","0","45.29","45.4","0.01","0.165","0","46.01","45.96","0","0.39","0","16.6","16.98","0.712","1.291","32.97","15.79","15.73","0.295","0","36.913","0","0"
08-02-2024;01:10:00.000,"42.624","88.2","2895.589","0","43.86","45.27","0.01","0.165","0","44.63","43.26","0","0.39","0","16.64","17.03","0.712","1.291","32.54","15.64","15.59","0.295","0","37.297","0","0"
08-02-2024;01:20:00.000,"42.624","88.2","2895.589","0","42.57","44.73","0.01","0.165","0","43.52","41.18","0","0.39","0","16.71","17.11","0.712","1.291","32.72","15.83","15.8","0.295","0","37.679","0","0"
08-02-2024;01:30:00.000,"42.624","88.2","2895.589","0","41.68","44.22","0.01","0.165","0","42.47","39.19","0","0.39","0","16.75","17.14","0.712","1.291","32.57","15.88","15.86","0.295","0","38.066","0","0"
08-02-2024;01:40:00.000,"42.624","88.2","2895.589","3.82","40.9","42.25","0.01","0.165","0","41.62","37.82","0","0.39","0","16.8","17.18","0.712","1.291","32.57","15.92","15.9","0.295","0","38.447","0","0"
08-02-2024;01:50:00.000,"44.04","88.2","2895.589","16.87","45.92","42.69","0.01","0.171","0","41.07","36.71","0","0.39","0","16.84","17.23","0.712","1.291","34.11","14.69","15.92","0.3","0","38.838","0","0"
08-02-2024;02:00:00.000,"46.387","95.75","2895.589","16.7","49.34","46.59","0.01","0.183","0.06","46.54","46.58","0","0.42","0","16.89","17.25","0.712","1.291","36.58","15.08","15.94","0.311","0","39.234","0","0"
08-02-2024;02:10:00.000,"46.391","95.75","2895.589","0","44.98","45.47","0.01","0.183","0","45.21","45.33","0","0.42","0","16.93","17.3","0.712","1.291","32.77","15.77","15.71","0.312","0","39.621","0","0"
08-02-2024;02:20:00.000,"46.391","95.75","2895.589","0","43.2","45.07","0.01","0.183","0","43.95","42.43","0","0.42","0","16.98","17.35","0.712","1.291","32.55","15.67","15.65","0.312","0","40.005","0","0"
08-02-2024;02:30:00.000,"46.391","95.75","2895.589","0","42.16","44.57","0.01","0.183","0","42.86","40.43","0","0.42","0","17.02","17.37","0.712","1.291","32.66","15.87","15.84","0.312","0","40.389","0","0"
08-02-2024;02:40:00.000,"46.391","95.75","2895.589","0","41.39","44.01","0.01","0.183","0","41.99","38.56","0","0.42","0","17.06","17.4","0.712","1.291","32.67","15.88","15.87","0.312","0","40.771","0","0"
